1,Robert Arneson,4,2,1930,1992
2,Doroteo Arnaiz,104,2,1936,NULL
3,Bill Arnold,4,2,1941,NULL
4,Charles Arnoldi,4,2,1946,NULL
5,Per Arnoldi,33,2,1941,NULL
6,Danilo Aroldi,59,2,1925,NULL
7,Bill Aron,4,2,1941,NULL
9,David Aronson,4,2,1923,NULL
10,Irene Aronson,4,1,1918,NULL
11,Jean (Hans) Arp,43,2,1886,1966
12,Jüri Arrak,39,2,1936,NULL
13,J. Arrelano Fischer,75,2,1911,1995
15,Folke Arstrom,106,2,1907,1997
16,Cristobal Arteche,104,2,1900,1964
18,Artko,NULL,NULL,NULL,NULL
19,Richard Artschwager,4,2,1923,2013
21,Ruth Asawa,4,1,1926,2013
22,Isidora Aschheim,58,1,NULL,NULL
23,Charles Robert Ashbee,15,2,1863,1942
24,Donald Ashcraft,4,2,1927,NULL
25,E. M. Ashe,4,2,1867,1941
26,Göran Åslin,106,NULL,1940,NULL
27,Erik Gunnar Asplund,106,2,1885,1940
28,Geneviève Asse,43,1,1923,NULL
30,Sergio Asti,59,2,1926,NULL
31,Dana Atchley,4,1,1941,2000
32,Atelier Eggers,43,NULL,NULL,NULL
33,A.A.P.,4,NULL,NULL,NULL
34,Alvar Aalto,42,2,1898,1976
35,Aino Aalto,42,1,1894,1949
36,Eero Aarnio,42,2,1932,NULL
37,Jules Aarons,4,2,1921,2008
38,Magdalena Abakanowicz,89,1,1930,2017
39,James Abbe,4,2,1883,1973
40,Jussuf Abbo,85,2,1888,1953
41,Berenice Abbott,4,1,1898,1991
42,Nobuya Abe,61,2,1913,1971
43,Abe Shiro (pen Name: Suichiku),61,2,1900,NULL
44,Robert Abel,4,2,1937,NULL
46,Sigmund Abeles,4,2,1934,NULL
47,Raimund Abraham,4,2,1933,2010
49,Ivor Abrahams,15,2,1935,NULL
50,Gerald Abramovitz,15,2,1928,2011
51,William Ross Abrams,4,2,1920,2007
52,Rodolfo Abularach,48,2,1933,NULL
53,Vito Acconci,4,2,1940,2017
54,Milton Ackoff,4,2,1915,NULL
55,Norman Ackroyd,15,2,NULL,NULL
56,Luis Alberto Acuña,25,2,1904,1994
57,Henri Georges Adam,43,2,1904,1967
58,Antoine Samuel Adam-Salomon,43,2,1818,1881
59,Valerio Adami,59,2,1935,NULL
60,Ansel Adams,4,2,1902,1984
61,Alice Adams,4,1,1930,NULL
62,Clinton Adams,4,2,1918,2002
63,Dacres Adams,15,2,1864,1951
64,Dennis Adams,4,2,1948,NULL
65,Kenneth M. Adams,4,2,1897,1966
66,Robert Adams,4,2,1937,NULL
67,Shelby Lee Adams,4,1,1950,NULL
68,Charles Addams,4,2,1912,1988
69,Allan Adler,4,2,1916,2002
70,Jankel Adler,89,2,1895,1949
71,Virginia Admiral,4,1,1915,2000
72,Pic Adrian,92,2,1910,NULL
74,Roy Adzak,15,2,1927,1987
76,Nicholas Africano,4,2,1948,NULL
77,Afro (Afro Basaldella),59,2,1912,1976
78,Aftograf,93,NULL,NULL,NULL
79,Agam (Yaacov Agam),58,2,1928,NULL
80,Mehemed Fehmy Agha,4,2,1896,1978
81,Kathleen Agnoli,4,1,1945,NULL
82,Peter Agostini,4,2,1913,1993
83,Olympe Aguado de las Marismas,43,2,1827,1894
84,Dongkuk S. Ahn,4,2,1937,2013
85,Aarne Aho,42,2,1904,1978
86,Otl Aicher (also known as Otto Aicher),45,2,1922,1991
87,Lucien Aigner,4,2,1901,1999
88,Gregory Ain,4,2,1908,1988
89,Edgar Ainsworth,15,2,1906,1975
91,Roberto Aizenberg,6,2,1928,1996
92,Kinji Akagawa,61,2,1940,NULL
93,Ryoji Akiyama,61,2,1942,NULL
94,Munira Al-Kazi,65,1,1939,NULL
95,Alastair (Hans H. Voight),45,2,1887,1969
96,Anni Albers,4,1,1899,1994
97,Josef Albers,4,2,1888,1976
98,Beatrice Albert,4,1,NULL,NULL
99,Joan Albert,4,1,1943,2012
100,Ivan Le Lorraine Albright,4,2,1897,1983
101,Album-miscellaneous,118,NULL,NULL,NULL
103,Albert Alcalay,4,2,1917,2008
104,L. (Alfred Lewin Copley) Alcopley,4,2,1910,1992
105,A. Alcorn,4,NULL,NULL,NULL
106,Alan Aldridge,15,2,1943,NULL
107,Pierre Alechinsky,11,2,1927,NULL
